id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1175356,2019,Chennai,2019-03-23,League,Harbhajan Singh,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,71.0,20.0,N,,AY Dandekar,BNJ Oxenford
1175357,2019,Kolkata,2019-03-24,League,AD Russell,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,182.0,20.0,N,,AK Chaudhary,CB Gaffaney
1175358,2019,Mumbai,2019-03-24,League,RR Pant,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,37.0,214.0,20.0,N,,S Ravi,YC Barde
1175359,2019,Jaipur,2019-03-25,League,CH Gayle,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,14.0,185.0,20.0,N,,C Shamshuddin,KN Ananthapadmanabhan
1175360,2019,Delhi,2019-03-26,League,SR Watson,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,wickets,6.0,148.0,20.0,N,,M Erasmus,Nitin Menon
1175361,2019,Kolkata,2019-03-27,League,AD Russell,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,runs,28.0,219.0,20.0,N,,AK Chaudhary,VA Kulkarni
1175362,2019,Bengaluru,2019-03-28,League,JJ Bumrah,M.Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,runs,6.0,188.0,20.0,N,,CK Nandan,S Ravi
1175363,2019,Hyderabad,2019-03-29,League,Rashid Khan,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,wickets,5.0,199.0,20.0,N,,BNJ Oxenford,C Shamshuddin
1175364,2019,Chandigarh,2019-03-30,League,MA Agarwal,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8.0,177.0,20.0,N,,CB Gaffaney,VA Kulkarni
1175365,2019,Delhi,2019-03-30,League,PP Shaw,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,tie,,186.0,20.0,Y,,AY Dandekar,Nitin Menon
